Sample,MNE,SE_MNE,SE_MNE_%,Group
WT-R1,0.081883391,0.00503,6.14,wild-type
WT-R2,0.084566792,0.01128,13.34,wild-type
WT-R3,0.096562173,0.01971,20.41,wild-type
m880-R3,0.001358841,2.00E-05,1.13,
m885-R1,0.241312241,0.01753,7.26,
m885-R2,0.073389776,0.00743,10.13,
m885-R3,0.403082587,0.00455,1.13,
m888-R1,0.165057305,0.00951,5.76,
m888-R2,0.123515905,0.00897,7.26,
m888-R3,0.417433923,0.05878,14.08,
m890-R1,0.435367024,0.02673,6.14,
m890-R2,0.089874801,0.00361,4.01,
m890-R3,0.428813738,0.01398,3.26,
m891-R1,0.045442787,0.00784,17.26,
m891-R2,0.005084338,0.00024,4.76,
m891-R3,0.045865832,0.0015,3.26,
m893-R1,0.039314662,0.00539,13.71,
m893-R2,0.134101573,0.00874,6.51,
m893-R3,0.147854221,0.02498,16.9,
m903-R1,0.085405441,0.01412,16.53,
m903-R2,0.057825022,0.00586,10.13,
m903-R3,0.102505327,0.00373,3.64,
m909-R1,0.058128534,0.00444,7.64,
m909-R2,0.014540835,0.00058,4.01,
m909-R3,0.132630366,0.00914,6.89,
m912-R1,0.002374391,0.00055,23.16,
m912-R2,0.001362382,0.00033,24.22,
m912-R3,0.039617785,0.00258,6.51,
m914-R1,0.133916758,0.00537,4.01,
m914-R2,0.029167519,0.004,13.71,
m914-R3,0.29954674,0.04328,14.45,
m915-R1,0.171669711,0.00689,4.01,
m915-R2,0.117203406,0.00294,2.51,
m915-R3,0.249774473,0.03425,13.71,
m916-R1,0.04314673,0.00469,10.87,
m916-R2,0.020763114,0.00127,6.14,
m916-R3,0.142738528,0.00519,3.64,
m918-R2,5.41E-05,1.00E-05,18.35,
m918-R3,5.84E-06,0,11.61,
m924-R1,5.69E-06,0,8.63,
m924-R2,2.71E-05,0,12.35,
m924-R3,4.50E-06,0,0.75,
m928-R1,0.101760323,0.01106,10.87,
m928-R2,0.076192293,0.01073,14.08,
m928-R3,0.184948435,0.00139,0.75,
m929-R1,0.004965781,0.00066,13.34,
m930-R1,0.096089813,0.00072,0.75,
m930-R2,0.030372121,0.0033,10.87,
m930-R3,0.067553657,0.00684,10.13,
m937-R1,0.242212613,0.04181,17.26,
m937-R2,0.031072191,0.0072,23.16,
m937-R3,0.16507334,0.0394,23.87,
m943-R1,0.068005195,0.00222,3.26,
m943-R2,0.166317615,0.0127,7.64,
m943-R3,0.132973114,0.01872,14.08,
m944-R1,0.059139647,0.00665,11.24,
m944-R2,0.026991501,0.00176,6.51,
m944-R3,0.09577264,0.01207,12.6,
m951-R1,0.13056419,0.01371,10.5,
m951-R2,0.148894019,0.01508,10.13,
m951-R3,0.051170052,0.00333,6.51,
m952-R1,0.433426871,0.00163,0.38,
m952-R2,0.035536263,0.00013,0.38,
m952-R3,0.033005522,0.0024,7.26,
m954-R1,0.008155479,0.00192,23.51,
m954-R3,0.043921226,0.00651,14.82,
m955-R2,0.040471009,0.00324,8.01,
m955-R2,0.378716702,0.01092,2.88,
m958-R1,0.044468004,0.00195,4.39,
m958-R2,0.013437978,0.00247,18.35,
m958-R3,0.095255599,0.00036,0.38,
m961-R1,0.021755194,0.00212,9.75,
m961-R3,0.021447625,7.00E-04,3.26,
m966-R1,0.007346858,0.00024,3.26,
m966-R2,0.011848355,0.00107,9.01,
m966-R3,0.031659154,0.00151,4.76,
